push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
91,30688,33624,27856,96,30009,30021,26926,92,27876,28642,25760
118,30097,32782,54362,96,57267,35377,28343,116,32930,34922,28016
92,31694,34559,29517,120,31105,31701,28330,105,28666,31513,25931
132,40923,30764,26481,95,29525,28920,25453,108,29825,29754,27859
118,28322,30300,25160,95,27757,28611,25717,92,28054,30379,26896
93,31298,32062,28933,167,29206,31665,30149,92,28993,29680,25357
137,29983,33955,48822,95,62775,65699,55740,114,52750,31400,40086
110,35982,31631,25382,95,27929,29668,24994,98,28281,32284,27707
125,39202,33015,25929,108,29727,29182,26600,124,29902,30596,27013
94,31910,32355,27579,119,31071,30151,27509,92,31836,28706,28547
107,31760,46484,27501,96,28616,32229,27012,101,31191,32771,28977
93,32793,33077,28288,97,28779,31898,27556,102,30411,33035,27320
91,36405,44597,26799,120,30831,30324,27028,163,30739,30974,26418
143,29798,32060,28092,95,29069,35182,27771,130,45618,31334,31072
140,33113,32079,30389,124,29970,28562,25151,106,28433,30634,26902
91,32612,32522,26975,97,31791,35313,34360,92,30569,30710,25228
93,29479,32930,27378,95,31050,31475,25809,92,30648,34152,29471
131,34762,32655,39909,133,30474,30531,26313,93,30171,28387,28376
93,30673,31578,27336,96,31921,30035,42960,92,56331,38388,28290
111,30142,30157,25599,130,30210,29814,26179,131,28938,31427,27221
