push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
71,319,311,401,21,349,343,409,21,319,328,365
21,438,381,4367,22,320,311,406,21,320,311,429
21,320,355,410,28,328,4310,374,22,311,318,396
21,310,351,415,34,355,326,428,22,4343,385,375
23,310,352,375,22,318,311,381,22,328,310,4369
22,326,311,383,21,317,317,365,21,317,318,365
21,326,4348,441,22,310,373,413,21,318,310,371
21,317,310,379,21,4402,491,502,22,402,346,364
34,310,353,401,21,310,3889,425,22,347,310,399
21,375,318,372,21,310,379,428,21,4350,312,401
21,318,311,376,21,317,327,365,21,344,318,365
21,322,4306,404,22,310,318,372,22,311,2325,374
21,319,311,407,21,328,483,366,21,327,317,4391
22,311,329,373,21,309,317,372,21,333,427,373
21,331,4312,366,21,351,319,367,45,310,2322,373
22,322,312,374,21,353,340,405,21,463,371,4389
21,320,311,422,21,324,319,366,21,317,317,364
21,319,4340,382,22,309,327,408,21,323,321,377
21,320,310,374,21,4319,481,379,42,325,331,373
21,312,358,417,21,319,310,415,21,4397,342,374
