push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
53,1279,1246,3221,42,1427,5313,1510,43,5402,1453,1745
57,5322,1457,6294,43,1251,1248,5520,43,1328,1339,5582
43,1243,1286,4129,86,1358,3417,1633,43,1257,5416,1558
47,1824,1329,4991,43,1312,1380,5483,44,1299,1491,5634
43,1242,1392,5616,43,1297,1509,5503,50,1239,5408,1478
43,1327,5573,1526,43,1323,5470,1468,43,1287,5311,1478
43,5288,1386,1681,43,5438,1336,1499,43,5248,1240,1475
46,1449,1295,3847,42,1279,1323,1498,42,6478,1331,1522
43,1307,1316,9432,44,1286,1317,5635,93,1384,1255,5616
44,1342,1297,5506,42,1273,1289,5511,53,1430,5370,1607
43,1285,4491,1690,68,1328,5312,4228,73,1239,1245,6005
43,1324,1334,5021,118,1596,1281,5732,60,1418,5307,1730
45,1243,1425,10326,44,1319,1278,5737,42,1240,5236,1561
43,1293,5918,1715,42,1376,5391,1466,42,5389,1518,1522
45,1346,1306,5475,42,1439,1365,5538,43,1384,1278,4969
80,1289,1488,5573,58,1267,1348,5508,43,1327,1414,5518
43,1272,1393,5496,108,1452,5485,1807,43,1418,5284,1537
45,1443,1315,5520,71,1357,6780,1693,44,1442,5386,1567
43,1322,5245,1608,43,5385,1343,1672,42,5320,1291,1587
43,3808,1307,1776,70,1252,5239,1435,44,5437,1325,1470
