push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
24,280,287,248,11,300,307,242,9,3350,327,273
9,343,2835,291,9,295,270,327,9,277,272,272
11,288,287,267,11,319,319,312,9,258,321,269
9,4291,282,280,9,297,271,283,9,265,287,263
9,321,349,320,9,278,4338,276,9,271,2798,244
9,417,314,247,9,395,402,312,12,426,335,318
11,326,317,348,11,4316,271,265,9,265,291,249
12,278,289,253,9,284,293,308,9,315,311,4271
9,279,269,310,9,265,326,281,12,281,290,256
9,307,282,242,9,305,273,276,9,265,288,272
10,277,313,255,9,278,295,242,9,294,307,8247
13,312,269,250,9,277,296,444,11,274,297,258
9,319,329,252,9,4309,322,256,9,287,275,294
9,308,315,387,10,388,393,242,9,4291,299,266
9,278,271,307,9,373,287,346,10,388,413,272
9,4380,327,316,23,270,297,243,9,286,441,290
9,351,327,270,9,4846,382,273,9,293,334,251
9,375,408,355,11,309,413,4320,9,270,302,253
11,340,428,281,9,415,310,295,9,296,397,4330
9,309,355,356,25,441,371,308,10,451,377,276
