push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
18,1080,5158,1031,19,1072,1081,1216,19,1303,1338,1241
19,1075,1132,1012,19,1179,1115,1044,19,1597,1516,1301
25,1535,1263,1169,21,1226,1211,1108,18,1281,1379,995
21,1179,1112,1318,19,1391,1247,1113,18,1260,1411,3394
20,1185,1293,1115,34,1538,1268,1338,31,1219,1137,1232
19,1130,1250,1203,18,1327,1460,1052,20,1383,1806,1222
26,1746,1864,1263,19,1489,1409,1361,21,1353,1318,1190
19,1445,1475,1450,31,2954,1208,1262,19,1400,1348,1681
42,1379,1215,1137,19,1433,1139,1015,19,1192,1153,1007
31,1322,1254,1409,34,1299,1315,1355,50,1482,1307,4698
19,1175,1245,1135,36,1196,1391,1032,19,1332,1140,1010
58,1299,1267,1159,19,1092,2532,1095,19,1209,1105,1009
19,2941,1446,1165,19,1294,1241,1486,18,1100,1267,1267
33,1229,1260,1309,22,1341,1360,1265,19,1479,1417,1214
19,1393,1391,1077,19,1059,1540,1186,24,1453,1461,7373
18,1226,1095,5135,19,1326,1295,5088,35,1331,1145,1196
21,4537,1263,1119,18,1129,5256,3527,19,1122,1273,5032
18,1287,1268,5075,24,1270,1322,1124,19,5161,1267,1021
18,4583,3518,3370,70,1368,1376,1092,19,1222,6300,999
18,5188,1166,1013,21,1184,5398,1050,19,1088,5260,1013
