push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
1359,49,49,56,1132,1088,5035,22,1158,1165,5140,22
62,49,48,73,1193,1044,1085,22,5213,1181,1089,29
62,48,49,134,5150,1090,1051,22,5291,1584,1193,22
64,49,49,57,1125,1084,1137,22,5159,1148,1171,22
67,49,49,57,1126,1100,1098,26,5278,1320,1084,22
62,57,48,56,5085,1060,1164,40,5161,1173,1123,22
62,48,49,56,1086,5052,1061,22,1203,5388,1182,30
62,48,49,56,1122,5149,1057,22,1250,1123,5087,23
62,48,48,55,1116,1086,5074,22,1344,2692,1127,22
66,49,49,56,1091,1095,1135,22,5259,1199,1109,22
62,48,49,71,5092,1055,1208,23,5198,1212,3265,23
62,48,49,66,1138,1049,5553,23,1182,1107,1146,22
62,48,4056,58,1142,1089,2596,31,3243,1417,1104,22
67,48,49,56,1129,1096,1103,22,5155,1117,1099,23
61,48,49,55,8026,1091,1065,22,1221,1499,1373,51
77,49,87,69,1329,5241,1189,22,1307,1148,8383,23
72,48,49,56,1101,1049,1123,4020,1239,1116,1153,22
61,48,48,55,5101,1080,1137,22,5185,1278,1120,23
72,83,49,56,5111,1061,1115,23,5454,1401,1247,22
62,48,49,67,5129,1051,1094,22,1245,4610,1141,22
