push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
171,117,131,131,8889,12745,8745,45,8872,9016,13623,45
148,119,159,132,8678,8911,8818,44,13312,9170,14368,45
149,119,132,214,30843,17390,4825,44,9103,13231,9060,45
149,119,119,182,9473,12959,9007,44,9032,13056,9386,48
212,210,148,132,10415,8922,8789,44,9026,13167,11564,45
152,119,168,134,9278,9006,12897,44,8981,8049,8974,57
155,119,132,169,7810,8837,8829,45,13638,9183,13597,45
150,129,154,132,9250,11064,7484,44,9156,13544,9097,45
149,118,119,141,9215,8930,12973,44,9355,9408,13017,44
149,119,119,143,9282,8899,8834,44,13613,9687,10638,45
170,119,119,132,4830,11312,13302,44,9437,9359,13526,45
150,168,120,132,8880,8529,13779,45,9174,9228,10231,45
150,164,120,132,11276,8881,9427,44,12826,9125,11488,45
150,119,183,218,8818,8895,12972,45,9567,15236,6676,45
159,148,120,132,8914,8485,14365,44,5382,15686,5124,43
169,120,119,155,8309,9676,22325,45,7583,11749,7214,45
297,195,123,134,7762,9040,8825,45,14109,9090,9474,45
158,119,121,147,7890,8883,9303,44,11593,15189,5187,58
209,120,119,132,8685,8815,8757,44,9270,12287,13145,44
150,118,119,172,8785,10323,8820,44,9038,14817,10741,45
