push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
1130,772,4822,807,284797,293157,313640,224,308246,302295,298986,272
4953,864,786,815,297540,296657,290883,4248,326264,309336,309241,223
982,829,819,4911,298647,296517,302040,262,318579,311393,303005,252
5076,831,878,861,303075,300986,299634,224,317571,310190,306686,232
1148,780,828,829,301970,305262,297050,224,317213,314968,306693,246
5005,832,815,840,297837,305509,301672,219,322222,306593,314994,223
4952,833,817,851,298849,299173,289717,261,329425,329719,313589,227
967,2826,863,841,307675,299833,307731,223,341478,335109,324132,223
1242,1101,920,4887,297761,334739,327182,8281,331132,337505,312331,231
947,859,2893,825,302709,300074,305225,231,320744,312056,310255,260
1228,952,4920,838,309541,303433,297793,224,313899,312173,309846,4211
951,783,866,855,302381,294015,318603,225,321789,306962,312607,242
955,785,803,815,299100,301081,304754,224,316442,315183,309572,223
1001,926,800,825,298108,292726,300813,274,317564,337453,308721,233
948,797,874,837,298877,298224,304708,335,318010,320595,308956,224
952,874,4875,864,296703,299291,299323,224,310232,314902,314851,241
982,814,829,4799,302116,299837,298801,221,307836,316633,307990,232
1127,874,4547,866,298722,296842,295155,4207,317721,316865,314852,233
969,838,4346,893,295839,290306,310085,223,309235,355457,323002,223
991,790,802,4825,297110,318166,306290,248,314227,311011,309901,228
