push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
380,100,101,360,356,78,78,266,332,77,111,259
382,101,102,358,4404,79,79,275,348,78,77,259
418,109,103,351,328,77,78,302,343,78,78,4264
369,112,102,383,330,78,93,257,342,77,78,296
374,102,101,360,317,77,4090,256,400,77,78,278
370,101,102,391,324,78,78,259,372,78,78,296
4398,101,102,362,343,78,77,345,336,88,78,258
435,101,110,350,352,79,78,4264,344,77,78,317
364,120,102,360,319,77,86,257,370,78,114,267
4879,101,101,366,317,96,78,256,375,77,78,266
371,101,102,358,315,130,78,257,3831,78,78,319
382,101,102,359,324,79,79,266,335,77,86,264
368,101,101,364,4347,81,78,270,335,77,125,259
370,101,101,359,328,78,79,296,335,91,78,259
3367,102,129,366,369,78,78,332,381,78,78,268
369,111,101,354,466,95,78,256,2357,77,78,269
408,102,102,362,324,78,78,259,375,78,115,273
428,104,103,4426,338,81,79,314,390,78,78,268
360,110,102,358,343,77,92,257,4347,80,78,271
360,114,109,419,432,79,78,272,368,77,135,273
