push,get,set,pop,assend_push,assend_get,assend_set,assend_pop,desend_push,desend_get,desend_set,desend_pop
10681,5780,1616,13895,8700,1233,5129,6384,8448,5206,1332,7808
15748,1752,6366,6811,4443,9354,1053,7691,9418,5401,1100,7567
12292,3448,1706,13431,8540,1138,5158,7602,9094,1098,1153,7808
26156,6045,3817,15755,4555,1170,6317,7568,9124,1082,1085,7582
9451,5805,1803,9669,8384,3933,1181,9559,8872,5145,1057,34872
9648,5725,1695,13969,8607,1212,1089,6664,8721,1111,5267,9961
9808,1671,5740,9308,8819,5741,1210,13180,4766,1130,1049,11438
9687,1748,5700,9732,8491,1116,5104,7520,8745,1081,1149,7493
10527,3633,1851,13266,9084,7735,1210,3481,7039,9087,1203,8544
13559,1706,1729,13348,8453,1098,1056,12453,8432,1136,1097,7524
12182,5803,1670,14051,9582,1102,5782,8006,9407,5223,1256,7719
14455,2172,6087,17529,4471,1051,5224,7026,10248,1368,5411,7591
9532,5667,1664,9180,12509,1428,1093,7692,6941,1211,1051,11575
9667,1707,5932,9635,8520,5095,1124,7039,10481,5410,1197,7545
9563,5695,1695,13652,8705,1155,1091,8389,7725,5218,1108,7593
13572,1692,6282,9295,8448,1064,5253,3577,13227,1091,1124,7653
9339,1724,5699,9693,8515,1103,5310,6802,9013,1124,1138,7720
9577,1813,5704,9243,8315,5160,1098,12099,8619,1054,5185,7636
9762,5796,1680,14845,8491,1086,5087,3458,8419,5116,1061,7579
14040,1635,4372,9831,8179,1107,1130,8006,8849,5178,1157,7564
